NGA,PolID,Time,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10
Big Island Hawaii,Hawaii1,1000,-2.9534085718844696,0.2683545477377217,0.9493661561422126,0.29789289538787234,0.11175321326224422,-0.7344368574875442,0.12805466303307853,-0.7331214530903009,-0.019642730522960172,-0.1197634151023607,0.07328374965406886
Big Island Hawaii,Hawaii1,1100,-2.9534085718844634,0.2683545477377175,0.9493661561422223,0.2978928953878883,0.11175321326222813,-0.7344368574875472,0.12805466303308832,-0.7331214530903244,-0.019642730522949507,-0.11976341510236801,0.07328374965406949
Big Island Hawaii,Hawaii2,1200,-2.597331653203545,0.3686428350256448,0.07878786715542622,0.40691952502220224,0.1788207012247812,0.1015487037936334,-0.08128965470405779,-0.5634357412087191,-0.13667119592396812,0.0689914270347058,0.0044977947004137975
Big Island Hawaii,Hawaii2,1300,-2.5378989391330777,0.4334798661517588,0.055354191458331155,0.4202018500555265,0.1821458316859736,0.05201783337641348,-0.008238298135250581,-0.6301813569694767,-0.2645108870914575,0.04712367831567613,0.011354803866969737
Big Island Hawaii,Hawaii2,1400,-2.2093043361628397,0.5107132524304956,-0.2611299390574098,0.45942647790927255,0.15380549856350154,0.11712757010553995,-0.049452979904097694,-0.2646341253730481,-0.2001478884146087,0.06908636364342723,-0.01326228100342999
Big Island Hawaii,Hawaii2,1500,-1.5949890971335416,0.8385978950603686,-0.7249044532423115,0.5823130540702516,-0.082560698625387,0.49614036954508867,-0.5447293857454196,0.4353932640564966,-0.2933250943350087,-0.08593549484954317,-0.12144990191951482
Big Island Hawaii,Hawaii2,1600,-2.4929641421845976,0.43634564774674417,0.3077514857113688,0.5704256704925802,-0.09479329049702598,-0.1979394275139378,-0.4037884701827602,0.39623393366696297,-0.46822669750387724,-0.12843538306274774,-0.006302376619311858
Big Island Hawaii,Hawaii3,1700,-1.540339520162905,0.8641814317979388,-0.32762265523745765,0.4009544615759392,-0.15105831204553424,-0.1500407943295812,-0.3179024086406855,0.08027405050508052,-0.31239328956887286,0.005533412375877141,0.0602187797792247
Big Island Hawaii,USKameh,1800,-0.5225648328673076,0.7979472057002691,0.1626615065921235,0.7560291994773486,-1.244627718617926,1.097573256061183,0.447172852073404,-0.2961076380759872,-0.23574697501147812,0.22868507338664676,-0.0663809163492811
Cahokia,USMisEW,-600,-4.078497466641933,-0.4597767889336538,0.610413978092393,0.16925240779220913,-0.13208901018761718,0.07402031377688126,-0.2312124322764043,0.3315986865107894,0.4662004112823557,-0.10559461340347608,-0.13603203239389616
Cahokia,USMisEW,-500,-4.078497466641932,-0.459776788933654,0.6104139780923933,0.1692524077922093,-0.1320890101876176,0.07402031377688162,-0.2312124322764039,0.3315986865107894,0.46620041128235573,-0.10559461340347596,-0.13603203239389614
Cahokia,USMisEW,-400,-4.078497466641933,-0.4597767889336539,0.6104139780923932,0.16925240779220926,-0.13208901018761754,0.07402031377688156,-0.23121243227640392,0.3315986865107894,0.46620041128235573,-0.10559461340347598,-0.1360320323938961
Cahokia,USMisEW,-300,-4.078497466641933,-0.4597767889336539,0.6104139780923932,0.16925240779220926,-0.13208901018761754,0.07402031377688156,-0.23121243227640392,0.3315986865107894,0.46620041128235573,-0.10559461340347598,-0.1360320323938961
Cahokia,USMisEW,-200,-4.078497466641933,-0.4597767889336539,0.6104139780923932,0.16925240779220926,-0.13208901018761754,0.07402031377688156,-0.23121243227640392,0.3315986865107894,0.46620041128235573,-0.10559461340347598,-0.1360320323938961
Cahokia,USMisMW,-100,-3.9874776615345526,-0.31427559985648984,0.6662283417353122,0.19850389238083327,-0.1433130649937456,0.021770075265543323,-0.2614788062305511,0.37370783982154876,0.513533146202621,-0.09947533065930546,-0.15777836508034612
Cahokia,USMisMW,0,-3.9874776615345526,-0.31427559985648984,0.6662283417353122,0.19850389238083327,-0.1433130649937456,0.021770075265543323,-0.2614788062305511,0.37370783982154876,0.513533146202621,-0.09947533065930546,-0.15777836508034612
Cahokia,USMisMW,100,-3.9874776615345526,-0.31427559985648984,0.6662283417353122,0.19850389238083327,-0.1433130649937456,0.021770075265543323,-0.2614788062305511,0.37370783982154876,0.513533146202621,-0.09947533065930546,-0.15777836508034612
Cahokia,USMisMW,200,-3.9874776615345526,-0.31427559985648984,0.6662283417353122,0.19850389238083327,-0.1433130649937456,0.021770075265543323,-0.2614788062305511,0.37370783982154876,0.513533146202621,-0.09947533065930546,-0.15777836508034612
Cahokia,USMisRo,300,-4.2297691929230785,-0.8239581864369515,0.37412927543998403,0.1446855879876354,-0.15261942150300556,0.21447422027098761,-0.17470532847958306,0.4041292468434174,0.11470203557301296,-0.20074335621850484,-0.05781350231203141
Cahokia,USMisRo,400,-4.2297691929230785,-0.8239581864369515,0.37412927543998403,0.1446855879876354,-0.15261942150300556,0.21447422027098761,-0.17470532847958306,0.4041292468434174,0.11470203557301296,-0.20074335621850484,-0.05781350231203141
Cahokia,USMisMu,500,-4.300444269295906,-0.9589627857227432,0.3283293995312935,0.12168672898776832,-0.15541120890488705,0.2554748501079473,-0.1794169968104942,0.44126098533110925,0.11011433805992729,-0.2017584703652291,-0.04355569700393508
Cahokia,USMisPa,600,-4.210972347430808,-0.9182453862961936,0.22034671380488913,0.1528676805186329,-0.16183424361580753,0.33295721302618564,-0.208233214298034,0.5222812216471696,0.05004477791732115,-0.2277639653586881,-0.03655304061169167
