PCA0,PCA1
0.441178351,-1.370262666
0.375580889,-1.339251798
0.342696584,-1.285709515
0.498483163,-1.415838026
0.743631866,-1.80513056
-0.178381198,-0.502187503
-0.625887867,-0.502716549
-1.518061512,-0.065749429
-1.412789853,-0.114098312
-1.322388867,-0.630910451
-1.048407933,-0.864671902
-0.939752146,-0.703975283
-0.935705708,-0.637528499
-0.77692395,-0.176037813
-1.409604999,0.232940141
-1.049087255,-0.154428295
-1.200299174,-0.590472306
-0.651614909,0.068220766
-1.315916114,0.168869727
0.116198709,-1.173213736
-2.946882721,0.54038631
-2.922296472,0.499000486
-2.644461013,0.203946935
-1.855884125,-0.64443028
-2.223734591,0.289562304
-2.395321202,0.47421012
-1.758696313,-1.008717295
-2.175455152,0.410600216
-2.309611793,0.564678134
-2.493240837,0.614183424
-2.770914936,0.63504556
-2.412272518,0.534026273
-2.673145734,0.708895401
-2.421630087,0.378096299
-2.32248861,-0.003711331
-2.674308842,0.564564688
-2.369036086,0.123628321
-2.641221639,0.36377677
-1.918426594,-0.100746865
-2.559600284,0.329077982
4.420387516,-0.614623724
4.323139649,-1.492305294
2.869297684,0.193432581
2.705687327,0.394716827
1.89779409,0.127137097
1.675385156,0.217806555
1.518307021,-0.233781768
1.529920175,-0.228933008
-0.010527591,0.056261823
0.094262186,0.185124088
0.006697228,0.315286783
-0.003693265,0.33073194
-1.198190324,0.412767545
-1.351194831,0.256418101
0.498270152,-0.747098455
-1.264790597,0.128620939
-1.313935126,0.201672814
-1.321585301,0.213044571
-0.85881705,-0.105544206
-1.703310736,0.47468717
-1.770464009,0.560272784
-1.779858257,0.574237054
-1.915507897,0.683651194
-1.891044604,0.64728724
-1.171488698,0.152092481
-1.371659737,0.329137783
-1.540228548,0.424936381
-1.482949256,0.062701209
-1.902827249,-0.418936708
-2.820594362,-0.144654056
-2.724178226,-0.212719665
-2.743759638,-0.208890283
-2.079800829,0.079023406
-2.774184514,0.255958549
-2.605666355,0.061731913
-2.529446433,0.22654525
-2.868257493,0.292555756
-2.946817154,0.218296254
-2.789467786,0.287848717
5.028512555,0.146206654
4.866059799,0.438464386
4.238968128,-0.272129393
3.797646295,0.42767197
3.668951289,0.570935026
2.452605946,0.884335064
2.406275547,1.518556179
2.132772632,1.743475795
2.18289178,0.656652605
1.990027126,0.984538716
2.497480111,0.545814329
2.481406819,0.558618206
-0.052119996,-0.764777036
0.94796262,-0.841658147
