,0,1,2
179,54.0,-2.1103096,-0.4769707
180,0.0,4.9704623,-0.6180164
181,3.0,2.0859551,-0.22015783
182,5.0,1.5749662,-1.693371
183,0.0,4.5370307,-0.37565127
184,3.0,3.7574441,-0.7011862
185,0.0,3.6549196,0.84951115
186,20.0,,-0.79159355
187,32.0,-0.062527694,-0.33304945
188,34.0,-0.8411572,0.7865928
189,38.0,-1.3034879,0.6276001
190,39.0,-1.6620018,0.70058423
191,40.0,-1.6212353,
192,41.0,-1.7192023,0.7369137
193,42.0,-1.7462701,
194,43.0,-1.229343,0.094130054
195,46.0,-1.0530107,0.06648081
196,47.0,-1.4245596,0.43803543
197,48.0,-2.9699144,
198,49.0,-3.026063,0.5479118
199,50.0,-3.032647,0.5576987
200,51.0,-2.8691835,0.7329682
201,52.0,-2.2440536,0.18816456
202,53.0,-2.88837,0.7022043
203,54.0,-2.1799014,0.08162463
204,55.0,-2.477421,0.4172665
205,56.0,-2.7461812,0.56299114
206,57.0,-3.0450115,0.7063435
207,58.0,-2.9948103,0.571064
208,59.0,,0.48251435
209,60.0,-3.6058922,0.38836434
210,61.0,-3.6753387,
211,62.0,-3.3238764,0.3958465
212,63.0,,0.69726354
213,64.0,-3.1510124,0.29764527
214,65.0,-3.342231,0.5177436
215,66.0,-3.4943488,
216,67.0,-3.8814182,0.77714264
217,68.0,-3.955804,0.8929412
218,69.0,-3.996907,0.9361203
219,0.0,5.0380955,-0.844893
220,3.0,,0.4089757
221,6.0,3.0038924,0.66448104
222,9.0,3.0140266,0.67386687
223,11.0,,-0.86425126
224,12.0,-0.15709087,
225,13.0,-1.0677522,
226,15.0,-1.1659546,
227,16.0,-1.2579781,
228,17.0,-1.7783083,-0.04397343
229,18.0,-2.2428973,-0.45717797
230,20.0,-1.6069672,-0.032118116
231,0.0,3.3866413,0.36012575
232,3.0,3.6193616,-0.20267929
233,4.0,3.3739586,0.20714533
234,5.0,3.4836864,-0.20942712
235,6.0,3.211881,
236,7.0,3.4995043,-0.52295804
237,8.0,2.301259,
238,9.0,1.9782676,
239,11.0,1.6930517,-0.5276657
240,0.0,2.8291469,1.6650549
241,10.0,2.9251568,1.5765855
242,12.0,1.2959948,1.605561
243,14.0,,1.5234835
244,15.0,1.8713886,2.609069
245,17.0,1.7432914,2.309564
246,19.0,0.65094036,
247,20.0,-0.118984796,0.17038941
248,21.0,-0.0509292,0.31788486
249,22.0,-0.51048833,
250,24.0,,0.25155762
251,26.0,2.9967594,
252,27.0,-3.3264315,0.17221543
253,28.0,-1.1547576,0.34590116
254,30.0,-0.59368736,-0.29569837
255,31.0,-1.3718979,-0.58859944
