,0,1,2
0,0.0,2.0054052,-2.8916774
1,1.0,0.03247679,-2.6527925
2,2.0,-2.6739204,0.15760568
3,3.0,-0.5891331,1.1624329
4,4.0,1.3613428,2.4704115
5,5.0,2.1170318,-0.53112286
6,6.0,1.5436498,-0.8210007
7,7.0,0.2134388,-1.6203655
8,8.0,-1.9124044,-1.8821107
9,9.0,-2.617305,0.525068
10,10.0,-2.3071811,0.7748311
11,11.0,-2.563381,0.6145396
12,12.0,-0.041812494,0.8865938
13,13.0,1.4284058,1.8145427
14,14.0,1.7858946,-0.34837294
15,15.0,1.0447211,-1.2025996
16,16.0,-0.43267325,-2.5217404
17,17.0,-2.2910848,0.6420677
18,18.0,-1.9410458,0.17521936
19,19.0,-0.60853815,1.231281
20,20.0,1.3817053,2.387027
21,21.0,2.0277681,-0.5752885
22,22.0,1.506094,-0.7450044
23,23.0,0.41407296,-1.5975477
24,24.0,-2.0845706,-1.8745549
25,25.0,-1.9114356,1.180056
26,26.0,-0.39895055,1.6985837
27,27.0,1.9535682,2.0266073
28,28.0,2.2304776,-0.62233484
29,29.0,1.3884213,-0.8473096
30,30.0,0.45469502,-1.7473485
31,31.0,-1.9287285,-2.0178971
32,32.0,-3.0499089,0.7266817
33,33.0,-2.7423968,0.4031457
34,34.0,-2.0078244,0.12867945
35,35.0,-0.25883955,1.3465238
36,36.0,1.8539144,1.8854525
37,37.0,1.9271208,-0.6639757
38,38.0,1.3479556,-0.9479204
39,39.0,0.013193215,-2.0751832
40,40.0,-2.360617,-0.4819729
41,0.0,1.9531116,-2.9389334
42,1.0,-0.14023231,-2.4677255
43,2.0,-2.5999153,0.30011854
44,3.0,-2.67705,0.08794663
45,4.0,-2.5939372,0.545631
46,5.0,-1.6464957,0.6349708
47,6.0,-0.1964603,1.7334425
48,7.0,2.0409136,0.61503166
49,8.0,2.218281,-0.6314627
50,9.0,1.1596712,-0.93099135
51,10.0,-0.29077393,-2.2813082
52,11.0,-2.5123155,0.24434787
53,12.0,-2.2006917,0.6761514
54,13.0,-1.5675951,0.28831807
55,14.0,-1.4877957,1.5929415
56,15.0,0.5310732,3.3254824
57,16.0,2.501056,-0.553308
58,17.0,2.2627182,-0.6382798
59,18.0,1.4872942,-1.0013088
60,19.0,0.26316968,-1.8574793
61,20.0,-2.1185331,-1.1507186
62,21.0,-1.9629692,0.27043486
63,22.0,-2.4149537,0.44978222
64,23.0,-2.4917321,0.53356975
65,24.0,-2.9425151,0.72971314
66,25.0,-3.0237868,0.3124597
67,26.0,-2.8252513,0.30911765
68,27.0,-2.3464928,0.27382267
69,28.0,-2.1429987,0.6079924
70,29.0,-1.7420878,0.61358726
71,30.0,-2.5110757,0.16204035
72,31.0,-2.7416553,0.37207884
73,32.0,-2.5443745,0.3379791
74,33.0,-2.323281,0.5566081
75,34.0,-3.2781372,0.6019157
76,35.0,-2.9928825,0.3741921
77,36.0,-2.6694272,0.42311665
78,37.0,-2.2137706,0.005159481
79,38.0,-2.5719795,0.24923898
80,39.0,-2.4469643,0.53205687
81,40.0,-2.644491,0.39227155
82,0.0,1.8778969,-2.777634
83,1.0,0.2069119,-2.198626
84,2.0,-2.4980245,0.16101065
85,3.0,-2.4574041,0.61881375
86,4.0,-2.2657926,0.86018497
87,5.0,-1.9857966,0.6905659
