,0,1
0,4.359997,-0.17325719
1,4.212526,-0.1164376
2,4.2419133,0.07957801
3,4.119417,0.20010915
4,3.6790068,0.5210952
5,3.512775,0.58532315
6,4.2286906,0.09787094
7,2.5482316,1.0229193
8,5.9255505,-1.2282184
9,5.594683,-0.7709155
10,5.6939335,-0.9088717
11,5.7110934,-0.9318026
12,5.4022202,-0.5408682
13,4.677163,0.19830683
14,4.1168513,-0.18137157
15,3.97542,-0.09473363
16,2.5697782,1.2163467
17,2.5596068,1.2205795
18,2.9877334,0.8779509
19,-0.7452591,-1.3613575
20,-0.7953529,-1.3316869
21,-0.85112643,-1.42968
22,-0.8128775,-1.5313491
23,-1.5288864,-0.31289837
24,-1.7422477,-0.07538496
25,-2.6542113,0.25975865
26,-2.3381672,-0.089149944
27,-2.626744,0.25710347
28,-2.4394236,0.21113524
29,-2.2216284,-0.04146377
30,-2.2705402,-0.081873834
31,-2.3499436,-0.1531202
32,-2.227487,-0.13168047
33,-2.2750206,-0.075069495
34,-0.67103446,-1.5020146
35,-0.7181783,-1.4731354
36,-1.4198058,-0.8048297
37,-1.19935,-1.053349
38,-1.915635,-0.072379805
39,4.3118234,0.36658216
40,3.4965508,1.7550768
41,4.0372677,0.8229178
42,3.7533534,1.1616458
43,4.171592,0.68057305
44,3.924489,1.0190393
45,1.0975258,2.1497061
46,3.5484846,0.5683136
47,2.5255454,0.91283864
48,0.09823143,2.1375132
49,3.396165,1.1835754
50,3.9445963,-0.25219315
51,3.927706,-0.25564012
52,3.868982,-0.25270078
53,3.7197351,-0.17473623
54,3.564687,0.019041413
55,3.409639,0.21281905
56,3.2545905,0.40659672
57,3.0995424,0.60037434
58,-1.7573544,-0.062606685
59,-1.7595882,-0.06057581
60,-1.7687404,-0.05225552
61,-1.7816056,-0.033742636
62,-1.8981366,-0.091062985
63,-1.6462336,-0.34888873
64,-1.3943305,-0.6067144
65,-2.2749143,-0.20634171
66,-2.3177915,-0.16736147
67,-1.9474081,0.21160755
68,-1.9502444,0.2141861
69,-2.4123363,0.08024247
70,-2.3433385,-0.2759597
71,-1.9828504,-0.49573603
72,-0.6183669,-1.334384
73,-2.2780552,-0.17168477
74,-2.3440604,-0.098207794
75,2.9628856,0.92730874
76,2.6245322,1.2349101
77,3.9308925,0.31009156
78,1.8906546,0.95818776
79,2.5991752,-0.039804645
80,1.936579,-0.55270475
81,1.2634586,-1.3009437
82,4.3487453,0.038534693
83,4.527002,-0.10820643
84,3.425953,0.74759346
85,3.7277162,0.34582826
86,-0.46280006,-0.020013755
87,3.1907437,0.23090982
88,2.396984,1.0189035
89,-2.419707,0.12254854
90,-1.7824647,-0.61497146
91,-1.2097069,-1.0173844
92,-1.3725963,-0.7677013
93,-1.1705347,-0.40885088
94,-2.2604175,-0.22608553
95,-3.272979,0.033977725
96,-1.5432467,-0.42670158
97,-1.27522,-0.73434806
98,-2.15487,-0.32217622
99,-3.1941004,0.8095917
100,3.672125,-1.1685473
101,1.4962983,0.24227054
102,1.053316,-0.25994763
103,0.3569786,-1.0745589
104,-1.6054527,-0.5623295
105,-1.4853827,-0.70646447
106,-2.2510736,-0.40866938
107,-2.2780042,-0.38418654
108,-2.2518513,-0.41157514
109,-2.2703533,-0.39475465
110,-2.1169841,-0.1275085
111,-2.0685918,-0.1815589
112,-2.186339,-0.039434392
113,-1.4980317,-0.7111534
114,-2.2516875,-0.32555735
115,-3.2632124,-0.17468396
116,4.7097526,-0.4865915
117,5.6147866,-0.122358546
118,4.9498596,0.27235442
119,4.698002,0.46675146
120,4.0595717,-0.74685115
121,3.7225397,-0.050562937
122,0.9264311,-1.0199776
123,0.10988146,-1.0239145
124,-0.7683797,-0.20345232
125,-0.9976508,-0.33818156
126,-0.90286326,-0.47908038
127,-1.060756,0.14871055
128,-1.0858077,0.18594915
129,-0.11675476,-1.248766
130,-0.20552687,-1.1025627
131,-0.25765064,-0.62801987
132,-0.43593976,0.21714577
133,-1.6732823,-0.714769
134,-1.636792,-0.59836656
135,-1.6003017,-0.4819641
136,-1.5638114,-0.36556166
137,-1.3800089,-0.35830832
138,-1.1962065,-0.35105494
139,-3.3502302,0.7995476
140,-3.29917,0.3006828
141,-3.406864,0.41952673
142,-3.1902332,0.1902603
143,-2.594346,0.19008243
144,-2.6430671,0.24561705
145,-2.9112265,0.48781967
146,-2.9575865,0.5516368
147,-1.7901323,-0.4109718
148,-1.8006928,-0.43401134
149,-1.7953986,-0.4186878
150,-2.1170552,-0.5543155
151,-2.8936183,-0.024939286
152,-3.6326313,0.571694
153,-3.6071858,0.55227923
154,4.068841,0.5325475
155,5.240224,-0.9619374
156,4.5701656,-0.014263646
157,4.6301785,-0.32047907
158,4.654182,-0.75544995
159,4.5426135,-0.51088715
160,4.28542,-0.15554444
161,0.5255884,-1.5666331
162,0.34234557,-1.4800936
163,-0.05403542,-1.2975138
164,-0.09300123,-1.2620895
165,-0.7585948,-0.5118198
166,-1.722384,0.14375989
167,-2.3191664,0.69604516
168,-3.2437127,0.91048694
169,-3.2825897,0.9601187
170,-3.2670715,0.9369601
171,-3.296871,0.6446613
172,-2.396243,-0.013310797
173,-1.4902858,-0.6365266
